33,12,1,0.6
33,13,1,0.6
33,14,1,0.6
33,15,1,0.6
33,16,1,0.6
0,1,1,1
0,2,1,1
0,3,1,1
0,4,1,1
1,2,1,1
1,3,1,1
1,4,1,1
2,3,1,1
2,4,1,1
3,4,1,1
5,6,1,1
5,7,1,1
5,8,1,1
6,7,1,1
6,8,1,1
7,8,1,1
9,10,1,1
9,11,1,1
10,11,1,1
12,13,1,1
12,14,1,1
12,15,1,1
12,16,1,1
13,14,1,1
13,15,1,1
13,16,1,1
14,15,1,1
14,16,1,1
15,16,1,1
17,18,1,1
17,19,1,1
17,20,1,1
17,21,1,1
17,22,1,1
18,19,1,1
18,20,1,1
18,21,1,1
18,22,1,1
19,20,1,1
19,21,1,1
19,22,1,1
20,21,1,1
20,22,1,1
21,22,1,1
23,24,1,1
23,25,1,1
23,26,1,1
24,25,1,1
24,26,1,1
25,26,1,1
27,28,1,1
27,29,1,1
28,29,1,1
30,31,1,1
34,35,1,1
34,36,1,1
34,37,1,1
34,38,1,1
35,36,1,1
35,37,1,1
35,38,1,1
36,37,1,1
36,38,1,1
37,38,1,1
24,15,0,0
4,32,0,0
19,15,0,0
13,12,0,0
38,11,0,0
21,11,0,0
9,26,0,0
28,9,0,0
6,10,0,0
27,16,0,0
35,3,0,0
10,7,0,0
1,20,0,0
9,23,0,0
18,26,0,0
17,28,0,0
22,23,0,0
28,20,0,0
31,18,0,0
15,7,0,0
21,10,0,0
8,3,0,0
13,29,0,0
3,17,0,0
6,37,0,0
12,0,0,0
4,13,0,0
35,27,0,0
37,5,0,0
22,32,0,0
12,34,0,0
34,9,0,0
4,38,0,0
25,17,0,0
22,25,0,0
11,33,0,0
25,16,0,0
10,9,0,0
0,29,0,0
5,15,0,0
4,25,0,0
5,4,0,0
14,17,0,0
27,7,0,0
23,6,0,0
9,31,0,0
3,23,0,0
13,26,0,0
21,0,0,0
22,24,0,0
28,0,0,0
30,2,0,0
23,12,0,0
23,19,0,0
0,22,0,0
2,10,0,0
4,23,0,0
26,18,0,0
11,33,0,0
25,35,0,0
21,12,0,0
29,23,0,0
3,34,0,0
17,29,0,0
7,22,0,0
34,23,0,0
29,17,0,0
26,29,0,0
8,19,0,0
